x[mm],y[mm]
1.423090862681576709e+02,6.112293465489453581e+01
1.444582356810389001e+02,6.112452324303988860e+01
1.455341861451695706e+02,5.926409954902901234e+01
1.487565345068013585e+02,6.112770041933059417e+01
1.519816343838132298e+02,5.926886531346507070e+01
1.509084354350626427e+02,5.740685303130884165e+01
1.552067342608251010e+02,5.741003020760062725e+01
1.552039827454450460e+02,6.113246618376665253e+01
1.573531321583263036e+02,6.113405477191200532e+01
1.584263311070768623e+02,6.299606705406823437e+01
1.600000000000000000e+02,6.208905917996702328e+01
1.594995300558274778e+02,6.485807933622446342e+01
1.600000000000000000e+02,6.485844926891302009e+01
3.274649045729601227e+01,1.482941040807858712e+00
3.596883881892782142e+01,3.346541911109440548e+00
3.489288835479718642e+01,5.206965605120316809e+00
3.596608730354778061e+01,7.068977887276545857e+00
3.919118718055963768e+01,5.210142781408919177e+00
3.919393869593968560e+01,1.487706805243917074e+00
4.134308810882090057e+01,1.489295393389284072e+00
4.220440162299690456e+01,0.000000000000000000e+00
3.274758660377310804e+01,0.000000000000000000e+00
4.564138693458333762e+01,1.492472569680373340e+00
4.563863541920329681e+01,5.214908545847066534e+00
4.778778483208452599e+01,5.216497133992433533e+00
4.306075574024897179e+01,0.000000000000000000e+00
4.886098378083512728e+01,7.078509416148662581e+00
4.563588390382324889e+01,8.937344522015607140e+00
4.563313238844319386e+01,1.265978049818129136e+01
4.778228180132442304e+01,1.266136908632664415e+01
4.885823226545505804e+01,1.080094539231576789e+01
5.208058062708685299e+01,1.266454626261734973e+01
5.530568050409872427e+01,1.080571115675182625e+01
5.423248155534813719e+01,8.943698874595597204e+00
5.207782911170681217e+01,1.638698223878445503e+01
5.422697852458804135e+01,1.638857082692980782e+01
5.530292898871868346e+01,1.452814713291893156e+01
5.852527735035045708e+01,1.639174800322051340e+01
6.175037722736235679e+01,1.453291289735498992e+01
6.067717827861176971e+01,1.267090061519876087e+01
6.175312874274241182e+01,1.081047692118788461e+01
5.853078038111060977e+01,8.946876050893749266e+00
6.282357617611294387e+01,1.639492517951121897e+01
7.571296962264020181e+01,2.384932866071754631e+01
7.786211903552143099e+01,2.385091724887415410e+01
7.785936752014137596e+01,2.757335322503000441e+01
8.108171588177319222e+01,2.943695409533155782e+01
8.215766634590383433e+01,2.757653040132070998e+01
8.108446739715321883e+01,2.571451811916448094e+01
8.430956727416509011e+01,2.385568301330594920e+01
8.431231878954514514e+01,2.013324703713185215e+01
8.645596517166623585e+01,2.757970757761144398e+01
8.753191563579690637e+01,2.571928388360053930e+01
9.075426399742872263e+01,2.758288475390212113e+01
9.397936387444056550e+01,2.572404964803659766e+01
9.075151248204863919e+01,3.130532073006922644e+01
9.290066189492989679e+01,3.130690931821457923e+01
9.397386084368048387e+01,3.316892160037080828e+01
9.719896072069232673e+01,3.131008649450528480e+01
1.004213090823241430e+02,3.317368736480686664e+01
1.004185575669441164e+02,3.689612334097400037e+01
1.014917565156946750e+02,3.875813562313020100e+01
1.036409059285759326e+02,3.875972421130090595e+01
1.036381544131958776e+02,4.248216018744265909e+01
1.068605027748276939e+02,4.434576105774421251e+01
1.079364532389582791e+02,4.248533736373336467e+01
1.100856026518395083e+02,4.248692595190759391e+01
1.100883541672195634e+02,3.876448997571164057e+01
1.133134540442314346e+02,3.690565486984608867e+01
1.208313497162456542e+02,4.249486889260548139e+01
1.122347520647207659e+02,4.248851454002409866e+01
1.133079510134713246e+02,4.435052682218029929e+01
1.165330508904831959e+02,4.249169171631477582e+01
1.197553992521150121e+02,4.435529258661632923e+01
1.251241455112480310e+02,4.994291802123039758e+01
1.229777476137468284e+02,4.621889345691697315e+01
1.229749960983667734e+02,4.994132943308504480e+01
1.261973444599986180e+02,5.180493030338662663e+01
1.229722445829867183e+02,5.366376540926675887e+01
1.229694930676066917e+02,5.738620138541925542e+01
1.251186424804879209e+02,5.738778997356460820e+01
1.261945929446185346e+02,5.552736627955373194e+01
1.294169413062503793e+02,5.739096714985531378e+01
1.326420411832622221e+02,5.553213204398979030e+01
1.315688422345116351e+02,5.367011976183356126e+01
1.358671410602741219e+02,5.367329693812426683e+01
1.390894894219059097e+02,5.553689780842584867e+01
1.401654398860365518e+02,5.367647411441497241e+01
1.337152401320128092e+02,5.739414432614601935e+01
1.358643895448940384e+02,5.739573291430524193e+01
1.358616380295139834e+02,6.111816889045847745e+01
1.390839863911457996e+02,6.298176976076005928e+01
1.401599368552764133e+02,6.112134606674918302e+01
1.487537829914213034e+02,6.485013639549769948e+01
1.509029324043025326e+02,6.485172498364305227e+01
1.519761313530531197e+02,6.671373726579928132e+01
1.552012312300649910e+02,6.485490215993375784e+01
1.584235795916968357e+02,6.671850303023533968e+01
1.530493303018037068e+02,6.857574954795551037e+01
1.551984797146849360e+02,6.857733813609620199e+01
1.551957281993048809e+02,7.229977411226796846e+01
1.584180765609366972e+02,7.416337498256955030e+01
1.594940270250673393e+02,7.230295128855867404e+01
1.600000000000000000e+02,7.230332528891887023e+01
2.629904221865235314e+01,1.478175276371786140e+00
2.844819163153355390e+01,1.479763864517124716e+00
2.930399271703705466e+01,0.000000000000000000e+00
2.630013484241629840e+01,0.000000000000000000e+00
2.952139058028414098e+01,3.341776146673353765e+00
2.629629070327229101e+01,5.200611252538053009e+00
2.629353918789225730e+01,8.923047228705982548e+00
2.844268860077346517e+01,8.924635816851363757e+00
2.951863906490410727e+01,7.064212122840487496e+00
3.274098742653592353e+01,8.927812993142069331e+00
3.703928625229837479e+01,8.930990169432774906e+00
4.133758507806079763e+01,8.934167345723480480e+00
4.241353554219145394e+01,7.073743651712604219e+00
5.637337642208921551e+01,2.011259539124226592e+01
5.852252583497044469e+01,2.011418397938932401e+01
5.851977431959038967e+01,2.383661995555472402e+01
6.174212268122220593e+01,2.570022082585630585e+01
6.281807314535284803e+01,2.383979713184542959e+01
6.174487419660226095e+01,2.197778484968920054e+01
6.496997407361411092e+01,2.011894974383567103e+01
6.711637197111531350e+01,2.384297430813613516e+01
6.819232243524595560e+01,2.198255061412525890e+01
7.141467079687777186e+01,2.384615148442684074e+01
7.463977067388961473e+01,2.198731637856131726e+01
6.926276986861645923e+01,2.756699887244859326e+01
7.141191928149768842e+01,2.756858746058814802e+01
7.140916776611763339e+01,3.129102343676105136e+01
7.463151612774944965e+01,3.315462430706263319e+01
7.570746659188009176e+01,3.129420061305175693e+01
7.463426764312950468e+01,2.943218833089552788e+01
8.215216331514372428e+01,3.502140235365492060e+01
8.645046214090615422e+01,3.502457952994562618e+01
8.752641260503679632e+01,3.316415583593474992e+01
9.074876096666861258e+01,3.502775670623633175e+01
8.430681575878503509e+01,2.757811898946629015e+01
8.430406424340498006e+01,3.130055496563316808e+01
8.107896436639313720e+01,3.315939007149869155e+01
8.430131272802492504e+01,3.502299094181607586e+01
